epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.9376,1.22385,0.94561,0.99984,0.2393,0.000220944,0.000220944,0.000220944
2,39.6573,0.19768,0.98442,1,0.06201,0.000430739,0.000430739,0.000430739
3,58.1739,0.1702,0.97959,1,0.08171,0.000627956,0.000627956,0.000627956
4,76.9531,0.1644,0.88749,1,0.3702,0.0006104,0.0006104,0.0006104
5,95.7185,0.14584,0.9707,0.99938,0.08826,0.000591534,0.000591534,0.000591534
6,114.152,0.1089,0.96883,0.99969,0.0885,0.000572667,0.000572667,0.000572667
7,132.914,0.09655,0.97008,1,0.08299,0.000553801,0.000553801,0.000553801
8,151.464,0.07298,0.9852,1,0.04781,0.000534934,0.000534934,0.000534934
9,170.166,0.07732,0.92863,1,0.23357,0.000516067,0.000516067,0.000516067
10,189.048,0.08641,0.9894,0.99984,0.03498,0.000497201,0.000497201,0.000497201
11,207.674,0.06348,0.976,0.99984,0.07591,0.000478334,0.000478334,0.000478334
12,226.384,0.04997,0.99049,1,0.02755,0.000459468,0.000459468,0.000459468
13,245.048,0.05487,0.98613,1,0.04724,0.000440601,0.000440601,0.000440601
14,263.825,0.04938,0.95808,1,0.13608,0.000421735,0.000421735,0.000421735
15,282.762,0.04044,0.98146,1,0.05683,0.000402868,0.000402868,0.000402868
16,301.395,0.04824,0.98971,1,0.03433,0.000384001,0.000384001,0.000384001
17,320.039,0.04334,0.98613,1,0.05208,0.000365135,0.000365135,0.000365135
18,338.87,0.03007,0.99018,1,0.03329,0.000346268,0.000346268,0.000346268
19,357.695,0.0259,0.98582,1,0.04664,0.000327402,0.000327402,0.000327402
20,376.305,0.03014,0.99283,1,0.02734,0.000308535,0.000308535,0.000308535
21,395.141,0.03178,0.9919,1,0.03376,0.000289669,0.000289669,0.000289669
22,413.963,0.02259,0.99112,1,0.02837,0.000270802,0.000270802,0.000270802
23,432.733,0.02434,0.99345,0.99984,0.0259,0.000251935,0.000251935,0.000251935
24,451.563,0.02367,0.99439,0.99984,0.02451,0.000233069,0.000233069,0.000233069
25,470.189,0.02396,0.98442,1,0.0504,0.000214202,0.000214202,0.000214202
26,502.623,0.02452,0.99517,1,0.0174,0.000195336,0.000195336,0.000195336
27,521.57,0.02325,0.99143,1,0.02983,0.000176469,0.000176469,0.000176469
28,540.612,0.01743,0.99158,1,0.03178,0.000157603,0.000157603,0.000157603
29,559.421,0.01641,0.98862,1,0.03484,0.000138736,0.000138736,0.000138736
30,578.386,0.01352,0.9919,1,0.02716,0.000119869,0.000119869,0.000119869
31,597.182,0.01782,0.99174,1,0.02681,0.000101003,0.000101003,0.000101003
32,616.203,0.01832,0.99299,1,0.02418,8.21363e-05,8.21363e-05,8.21363e-05
33,635.161,0.01511,0.99096,1,0.02974,6.32697e-05,6.32697e-05,6.32697e-05
34,654.003,0.01369,0.99439,1,0.02175,4.44031e-05,4.44031e-05,4.44031e-05
35,672.704,0.01307,0.99345,1,0.02538,2.55366e-05,2.55366e-05,2.55366e-05
